record_type,run_id,run_local_date,run_started_at,run_finished_at,trigger_type,run_status,screener_status,warning_text,fallback_used,decision_engine,llm_triggered,model_used_heavy,model_used_light,final_decision_action,final_selected_ticker,strategy_source,strategy_label,strategy_status,strategy_provider,strategy_raw_row_count,strategy_candidate_count,strategy_finviz_candidate_count,strategy_backup_candidate_count,strategy_fallback_used,strategy_query_urls,strategy_filter_codes,strategy_criteria_summary,strategy_sort_summary,strategy_note,ticker,company_name,candidate_origin,candidate_sources,data_sources_used,screener_rank,combined_rank,selected_for_final,selected_contract_matches_best_scored,market_cap,current_price,sector,sector_etf,earnings_date,earnings_date_verified,earnings_timing,direction_classification,candidate_direction_score,data_confidence_score,final_opportunity_score,best_strategy,option_contracts_considered,viable_contract_count,stock_return_1d,stock_return_5d,stock_return_20d,stock_return_50d,latest_volume,average_volume_20d,volume_vs_average_20d,relative_strength_vs_spy,relative_strength_vs_qqq,relative_strength_vs_sector,news_confidence,news_used_llm_summary,selected_contract_option_type,selected_contract_position_side,selected_contract_strike,selected_contract_expiry,selected_contract_bid,selected_contract_ask,selected_contract_mid,selected_contract_volume,selected_contract_open_interest,selected_contract_implied_volatility,selected_contract_delta,selected_contract_breakeven,selected_contract_spread_percent,selected_contract_liquidity_score,selected_contract_score,selected_contract_passed_hard_filters,selected_contract_rejection_reason,best_scored_contract_option_type,best_scored_contract_position_side,best_scored_contract_strike,best_scored_contract_expiry,best_scored_contract_score,best_scored_contract_passed_hard_filters,best_scored_contract_rejection_reason,missing_data_fields,validation_notes,scoring_reasons,decision_reasoning
candidate,e1f073aa-f037-4705-9733-6e914b54286b,2026-05-05,2026-05-05T15:23:14.052241+00:00,2026-05-05T15:24:10.818125+00:00,manual,success,success,,false,heuristic_fallback,false,,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,LUNR,Intuitive Machines Inc,finviz_row,finviz,finviz|yfinance|alpaca,3,2,false,true,5340000000.00,25.0,Industrials,XLI,2026-05-05,true,unknown,bullish,65,89,64,short_put,82,10,-0.0138067209547487545020439158,0.017087065809503037391440407,0.099868037988545173122390338,0.378169836889091105101542269,7058411,13718395,0.5145216331793916125027745593,0.002313258928746975604831226,-0.057711934094086159774912058,0.047822730493477671049172147,25,false,,,,,,,,,,,,,,,,,,put,short,18,2026-05-15,63,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|market/sector environment was clearly supportive|relative strength was mixed rather than decisive|best contract was short_put 2026-05-15 18|Spread is wider than ideal but still usable.,trend alignment was clearly supportive price structure was clearly supportive relative strength was mixed rather than decisive best contract was long_call 2026-05-22 98
candidate,e1f073aa-f037-4705-9733-6e914b54286b,2026-05-05,2026-05-05T15:23:14.052241+00:00,2026-05-05T15:24:10.818125+00:00,manual,success,success,,false,heuristic_fallback,false,,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,USAR,USA Rare Earth Inc,finviz_row,finviz,finviz|yfinance|alpaca,2,3,false,true,5810000000.00,25.579999923706055,Basic Materials,XLB,2026-05-05,true,unknown,bullish,70,98,61,long_call,77,4,-0.0284846183886518765168930836,0.088047625464556224084730689,0.674083793896247162978818685,0.484619884115560341088414050,19835200,17944100,1.105388400644222892204122804,0.584423256742775334654782975,0.530702307264450221602438056,0.665521462260968070674389139,25,false,,,,,,,,,,,,,,,,,,call,long,26.5,2026-05-08,54,true,,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was mixed rather than decisive|best contract was long_call 2026-05-08 26.5|Sector trend does not fully support the thesis.|IV is very elevated for a long option.,trend alignment was clearly supportive price structure was clearly supportive relative strength was mixed rather than decisive best contract was long_call 2026-05-22 98
candidate,e1f073aa-f037-4705-9733-6e914b54286b,2026-05-05,2026-05-05T15:23:14.052241+00:00,2026-05-05T15:24:10.818125+00:00,manual,success,success,,false,heuristic_fallback,false,,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,RKLB,Rocket Lab Corp,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,5,4,false,true,44860000000.00,78.06500244140625,Industrials,XLI,2026-05-05,true,unknown,bullish,65,98,57,long_call,81,1,-0.0279541176121884877553486513,-0.0066801618647137476102113009,0.177095940902102260247782885,0.111878699036627228766043147,7067509,22183750,0.3185894630078323096861441370,0.080330002524262387499265665,0.020545060144482004719811181,0.126146371999120779102637576,25,false,,,,,,,,,,,,,,,,,,call,long,85,2026-05-08,50,true,,earnings_timing|news_articles,,relative strength was clearly supportive|trend alignment was mixed rather than decisive|market/sector environment was clearly supportive|best contract was long_call 2026-05-08 85|IV is very elevated for a long option.,trend alignment was clearly supportive price structure was clearly supportive relative strength was mixed rather than decisive best contract was long_call 2026-05-22 98
candidate,e1f073aa-f037-4705-9733-6e914b54286b,2026-05-05,2026-05-05T15:23:14.052241+00:00,2026-05-05T15:24:10.818125+00:00,manual,success,success,,false,heuristic_fallback,false,,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,MP,MP Materials Corp,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,4,9,false,true,12150000000.00,66.19999694824219,Basic Materials,XLB,2026-05-05,true,unknown,bullish,70,98,0,short_put,75,0,-0.0064535542983790524622116707,0.019716555998135741389927303,0.293726779697609488839254179,0.196241358252805298400259359,6150300,5458650,1.126707152867467230908741172,0.204066242544137660515218469,0.150345293065812547462873550,0.285164448062330396534824633,25,false,,,,,,,,,,,,,,,,,,put,short,66,2026-05-08,0,false,User risk settings allow zero contracts.,earnings_timing|news_articles,,trend alignment was clearly supportive|relative strength was clearly supportive|news/catalyst quality was mixed rather than decisive|No usable option contract was selected.,trend alignment was clearly supportive price structure was clearly supportive relative strength was mixed rather than decisive best contract was long_call 2026-05-22 98
candidate,e1f073aa-f037-4705-9733-6e914b54286b,2026-05-05,2026-05-05T15:23:14.052241+00:00,2026-05-05T15:24:10.818125+00:00,manual,success,success,,false,heuristic_fallback,false,,google/gemini-3.1-flash-lite-preview,recommend,CSCO,coiled_setup,Strategy B - Coiled Setup,success,finviz,5,5,5,0,false,"https://finviz.com/screener?v=111&f=cap_midover,geo_usa,sh_avgvol_o1000,sh_opt_option,sh_price_o20,ta_sma50_pa,ta_sma200_pa,ta_highlow52w_b20h,ta_beta_o1,ta_rsi_40to70&o=-relativevolume",cap_midover|geo_usa|sh_avgvol_o1000|sh_opt_option|sh_price_o20|ta_sma50_pa|ta_sma200_pa|ta_highlow52w_b20h|ta_beta_o1|ta_rsi_40to70,"USA optionable stocks over $20 with market cap above $2B, 3M average volume above 1M, beta above 1, price above the 50/200-day SMAs, within 20% of the 52-week high, and RSI 40-70. This keeps the structure-driven pool liquid and tradeable without over-filtering it to zero.",Relative Volume descending,,ADEA,Adeia Inc,finviz_row,finviz,finviz|yfinance|alphavantage|alpaca,1,10,false,true,3030000000.00,28.15999984741211,Technology,XLK,2026-05-05,true,unknown,neutral,54,95,0,,0,0,-0.1626524248281769608678071855,-0.0684750157515578117992373023,0.103880815160871905166719051,0.526287191487663685934721475,2219990,1342905.7,1.653124266283179824167847378,0.006326036101073707649159939,-0.053699156921759427730583345,-0.098986145245549510566522261,25,false,,,,,,,,,,,,,,,,,,,,,,,,,earnings_timing|news_articles,,relative strength was clearly supportive|volume confirmation was clearly supportive|trend alignment was mixed rather than decisive|No usable option contract was selected.,trend alignment was clearly supportive price structure was clearly supportive relative strength was mixed rather than decisive best contract was long_call 2026-05-22 98
